Name,AUID,Coords,Const,Type,Period,Mag
"Gaia DR3 1926559846082526080","--","23 43 38.15 +44 29 22.9","And","ACV|roAm|roAp|SXARI","--","9.39 - 9.42 G"
"Gaia DR3 1926570806839302912","--","23 44 13.49 +44 40 33.8","And","L","--","8.42 - 8.60 G"
"Gaia DR3 1926936257016228352","--","23 44 00.85 +45 56 06.2","And","SPB","1.47786","9.02 - 9.08 G"
"Gaia DR3 1927001643598212352","--","23 48 24.33 +45 26 18.4","And","DSCT|GDOR|SXPHE","2.46837","9.02 - 9.07 G"
"Gaia DR3 1927394719006973056","--","23 53 01.85 +47 09 26.8","And","DSCT|GDOR|SXPHE","--","9.48 - 9.55 G"
"Gaia DR3 1927408218085046912","--","23 54 55.60 +46 53 24.3","And","ACV|roAm|roAp|SXARI","--","9.84 - 9.89 G"
"Gaia DR3 1927454431931033728","--","23 57 22.77 +47 17 25.0","And","ACV|roAm|roAp|SXARI","--","9.51 - 9.53 G"
"Gaia DR3 1927465637505289728","--","23 59 44.20 +47 36 09.1","And","ROT","--","9.64 - 9.67 G"
"Gaia DR3 1927479072162329728","--","23 55 21.87 +47 10 46.5","And","ACV|roAm|roAp|SXARI","--","9.48 - 9.51 G"
"Gaia DR3 1928106171747187328","--","22 58 22.03 +37 19 06.2","And","DSCT|GDOR|SXPHE","0.1510633","9.79 - 9.89 G"
"Gaia DR3 1928133934414779520","--","22 58 27.58 +37 46 21.9","And","L","--","8.94 - 9.24 G"
"Gaia DR3 1931357427630466432","--","22 59 48.15 +42 19 35.1","And","L","--","9.26 - 9.56 G"
"Gaia DR3 1931718033084407936","--","23 08 25.78 +43 30 52.6","And","ACV|roAm|roAp|SXARI","--","8.82 - 8.87 G"
"Gaia DR3 1931804104228973824","--","23 05 31.75 +43 14 46.3","And","DSCT|GDOR|SXPHE","0.1863139","8.53 - 8.56 G"
"Gaia DR3 1934573327344581632","--","23 00 03.34 +43 56 58.9","And","ROT","--","9.48 - 9.52 G"
"Gaia DR3 1934924724387752832","--","23 06 21.81 +44 27 05.9","And","ACV|roAm|roAp|SXARI","--","8.28 - 8.37 G"
"Gaia DR3 1935158778628052608","--","23 01 16.37 +44 29 48.1","And","ACV|roAm|roAp|SXARI","--","9.34 - 9.38 G"
"Gaia DR3 1935346455818183040","--","23 10 22.15 +45 59 31.5","And","ACV|roAm|roAp|SXARI","--","9.91 - 9.96 G"
"Gaia DR3 1936088042049360896","--","23 00 37.31 +46 01 57.2","And","DSCT|GDOR|SXPHE","1.50325","9.14 - 9.18 G"
"Gaia DR3 1936110886976492800","--","23 02 53.10 +46 10 23.9","And","DSCT|GDOR|SXPHE","4.40129","9.58 - 9.62 G"
"Gaia DR3 1936182668769985280","--","23 08 32.60 +46 37 19.5","And","ACV|roAm|roAp|SXARI","--","9.62 - 9.66 G"
"Gaia DR3 1936418788891581568","--","23 06 36.98 +46 56 33.6","And","ACV|roAm|roAp|SXARI","--","8.50 - 8.54 G"
"Gaia DR3 1936507162138692992","--","23 05 24.31 +47 30 53.9","And","DSCT|GDOR|SXPHE","6.7259","8.65 - 8.86 G"
"Gaia DR3 1936735551319364352","000-BQH-189","23 25 07.22 +43 25 35.6","And","ACV|roAm|roAp|SXARI","0.0188247","9.46 - 9.51 G"
"Gaia DR3 1936761046244009600","--","23 20 14.20 +43 10 48.1","And","ACV|roAm|roAp|SXARI","--","8.37 - 8.41 G"
"Gaia DR3 1936907281290827392","--","23 15 03.14 +43 20 00.2","And","ROT","--","9.32 - 9.37 G"
"Gaia DR3 1936970949886120832","--","23 19 42.15 +43 30 49.8","And","L","--","8.82 - 8.95 G"
"Gaia DR3 1937057433347858048","--","23 21 06.93 +44 20 15.1","And","ROT","--","9.55 - 9.59 G"
"Gaia DR3 1937476927094784640","--","23 25 32.88 +44 57 08.4","And","DSCT|GDOR|SXPHE","0.061712","8.75 - 8.82 G"
"Gaia DR3 1937649726518756736","--","23 34 56.34 +46 07 02.0","And","ACV|roAm|roAp|SXARI","--","9.73 - 9.77 G"
"Gaia DR3 1937715319258302080","--","23 16 18.80 +44 03 16.7","And","DSCT|GDOR|SXPHE","0.88088","9.91 - 9.95 G"
"Gaia DR3 1937852036658692224","--","23 22 18.31 +44 44 45.5","And","ACV|roAm|roAp|SXARI","--","9.81 - 9.85 G"
"Gaia DR3 1937905809647832192","--","23 18 48.17 +44 58 15.3","And","ROT","--","9.74 - 9.77 G"
"Gaia DR3 1938010366332092416","--","23 16 05.96 +44 56 06.1","And","DSCT|GDOR|SXPHE","0.78877","9.51 - 9.55 G"
"Gaia DR3 1938268889003251072","--","23 25 11.96 +45 35 20.4","And","L","--","8.33 - 8.48 G"
"Gaia DR3 1938330530370223872","--","23 23 28.80 +45 47 35.7","And","ROT","--","8.32 - 8.36 G"
"Gaia DR3 1938377053460100608","--","23 28 54.62 +46 31 08.9","And","DSCT|GDOR|SXPHE","0.8152","9.57 - 9.60 G"
"Gaia DR3 1938586269907379072","--","23 27 49.01 +46 49 51.8","And","ROT","--","9.43 - 9.46 G"
"Gaia DR3 1938769750911050368","--","23 31 53.06 +47 32 51.9","And","ACV|roAm|roAp|SXARI","--","9.75 - 9.86 G"
"Gaia DR3 1938976837054179456","--","23 44 53.78 +46 16 36.5","And","L","--","9.70 - 9.85 G"
"Gaia DR3 1939109018966183040","--","23 37 05.86 +46 17 14.6","And","ACV|roAm|roAp|SXARI","--","8.69 - 8.72 G"
"Gaia DR3 1939123999812468480","--","23 39 09.14 +46 26 12.9","And","ROT","--","9.51 - 9.55 G"
"Gaia DR3 1939197151695625600","--","23 40 12.31 +46 53 02.1","And","ACV|roAm|roAp|SXARI","--","9.68 - 9.72 G"
"Gaia DR3 1939281023817580928","--","23 44 37.37 +47 24 27.7","And","L","--","9.38 - 9.51 G"
"Gaia DR3 1939331910590061696","--","23 44 16.89 +47 28 58.7","And","SR|M","445.2","8.39 - 8.52 G"
"Gaia DR3 1939402240674798336","--","23 50 35.96 +47 05 13.7","And","ACV|roAm|roAp|SXARI","--","8.87 - 8.91 G"
"Gaia DR3 1939551946054764032","--","23 58 44.33 +48 06 27.5","And","DSCT|GDOR|SXPHE","2.62038","9.74 - 9.77 G"
"Gaia DR3 1939557100018356608","--","23 57 33.10 +48 04 13.4","And","ACV|roAm|roAp|SXARI","--","9.24 - 9.29 G"
"Gaia DR3 1939569302025556864","--","23 58 28.14 +48 15 29.1","And","ACV|roAm|roAp|SXARI","--","9.87 - 9.96 G"
"Gaia DR3 1940120226063528704","--","23 44 01.97 +48 01 04.2","And","DSCT|GDOR|SXPHE","--","9.41 - 9.45 G"
"Gaia DR3 1940211657329890176","--","23 35 00.77 +47 30 47.0","And","DSCT|GDOR|SXPHE","0.498853","9.47 - 9.53 G"
"Gaia DR3 1940234197318499200","--","23 36 50.23 +47 51 42.6","And","ACV|roAm|roAp|SXARI","--","9.61 - 9.65 G"
"Gaia DR3 1941409124273114880","--","23 10 37.68 +46 22 40.3","And","ACV|roAm|roAp|SXARI","--","8.15 - 8.19 G"
"Gaia DR3 1941570649403185664","--","23 17 38.64 +47 25 26.5","And","L","--","9.55 - 9.71 G"
"Gaia DR3 1942164527420783744","--","23 30 28.75 +49 16 31.0","And","ACV|roAm|roAp|SXARI","--","9.87 - 9.90 G"
"Gaia DR3 1942184937105176576","--","23 11 30.64 +46 53 46.9","And","ACV|roAm|roAp|SXARI","--","9.65 - 9.68 G"
"Gaia DR3 1942384773344557184","--","23 20 23.27 +48 20 01.5","And","ROT","--","9.60 - 9.63 G"
"Gaia DR3 1942615430267801216","--","23 17 12.42 +48 36 30.4","And","L","--","9.45 - 9.59 G"
"Gaia DR3 1942616839017575680","--","23 17 36.54 +48 41 01.8","And","ACV|roAm|roAp|SXARI","--","9.81 - 9.86 G"
"Gaia DR3 1942699268029625088","--","23 17 07.59 +49 07 39.0","And","DSCT|GDOR|SXPHE","1.28485","9.54 - 9.58 G"
"Gaia DR3 1942829044761105920","--","23 21 36.20 +48 50 22.0","And","ACV|roAm|roAp|SXARI","--","8.93 - 8.97 G"
"Gaia DR3 1942883264428263424","--","23 28 08.74 +49 02 57.8","And","DSCT|GDOR|SXPHE","0.1324554","8.81 - 8.85 G"
"Gaia DR3 1943016133537388800","--","23 32 45.48 +50 17 44.6","And","ROT","--","8.74 - 8.77 G"
"Gaia DR3 1943229129555452928","--","23 31 37.05 +50 39 55.7","And","DSCT|GDOR|SXPHE","2.11638","8.80 - 8.85 G"
"Gaia DR3 1943346880378012672","--","23 38 38.66 +48 52 45.9","And","ACV|roAm|roAp|SXARI","--","9.22 - 9.27 G"
"Gaia DR3 1943592827385671680","--","23 34 42.75 +49 14 03.0","And","RS","--","9.63 - 9.70 G"
"Gaia DR3 1943644848031362048","--","23 38 07.23 +49 48 00.4","And","DSCT|GDOR|SXPHE","0.0480271","9.90 - 9.95 G"
"Gaia DR3 1943667628531383296","--","23 36 13.87 +49 44 02.1","And","ACV|roAm|roAp|SXARI","--","9.68 - 9.70 G"
"Gaia DR3 1943667628535894016","--","23 36 13.64 +49 44 03.7","And","DSCT|GDOR|SXPHE","0.206488","9.68 - 9.71 G"
"Gaia DR3 1943725455971101184","--","23 40 01.31 +49 43 03.5","And","ACV|roAm|roAp|SXARI","--","9.64 - 9.70 G"
"Gaia DR3 1943726967805145088","--","23 40 11.79 +49 48 44.2","And","ACV|roAm|roAp|SXARI","--","9.50 - 9.56 G"
"Gaia DR3 1944454981941053824","--","23 34 21.53 +50 12 33.4","And","ACV|roAm|roAp|SXARI","--","9.34 - 9.37 G"
"Gaia DR3 1984482840190201600","--","22 59 04.37 +47 20 44.6","And","DSCT|GDOR|SXPHE","3.9768","9.62 - 9.66 G"
"Gaia DR3 1984729302593572480","--","23 01 05.51 +48 08 47.8","And","ACV|roAm|roAp|SXARI","--","8.93 - 8.96 G"
"Gaia DR3 1984764074643322112","--","22 57 43.22 +48 06 53.2","And","ACV|roAm|roAp|SXARI","--","8.76 - 8.79 G"
"Gaia DR3 1984766857787180416","--","22 58 38.77 +48 16 00.6","And","DSCT|GDOR|SXPHE","0.1226126","9.19 - 9.22 G"
"Gaia DR3 1984784931009513472","--","22 57 56.50 +48 26 28.6","And","ACV|roAm|roAp|SXARI","--","9.72 - 9.76 G"
"Gaia DR3 1985697216423899520","--","23 02 06.18 +49 29 16.2","And","ACV|roAm|roAp|SXARI","--","9.63 - 9.66 G"
"Gaia DR3 1986001192730291456","--","23 02 50.93 +50 24 44.9","And","ACV|roAm|roAp|SXARI","--","9.68 - 9.72 G"
"Gaia DR3 1986014803486999424","--","23 04 19.45 +50 44 45.8","And","DSCT|GDOR|SXPHE","1.7617","9.61 - 9.65 G"
"Gaia DR3 1989131781513735808","--","22 58 18.31 +51 09 01.3","And","L","--","8.84 - 9.01 G"
"Gaia DR3 1989139615534265216","--","22 58 59.08 +51 25 13.1","And","ACV|roAm|roAp|SXARI","--","8.11 - 8.14 G"
"Gaia DR3 1989146006445600768","--","22 59 31.37 +51 29 09.9","And","L","--","9.03 - 9.26 G"
"Gaia DR3 1989347045273678336","--","22 57 39.92 +51 37 51.8","And","ACV|roAm|roAp|SXARI","--","9.90 - 9.94 G"
"Gaia DR3 1989462356557689472","--","23 01 15.99 +52 38 54.1","And","ACV|roAm|roAp|SXARI","--","9.88 - 9.94 G"
"Gaia DR3 1991144849862320384","--","23 16 52.46 +51 00 53.0","And","ACV|roAm|roAp|SXARI","--","9.10 - 9.13 G"
"Gaia DR3 1991472744845255680","--","23 22 55.47 +51 01 53.0","And","DSCT|GDOR|SXPHE","1.22483","9.44 - 9.47 G"
"Gaia DR3 1991549538860683776","--","23 22 56.05 +51 34 50.6","And","RS","--","9.83 - 9.91 G"
"Gaia DR3 1991720993955669248","--","23 07 53.69 +49 56 43.6","And","VAR","0.0150302","9.74 - 9.75 G"
"Gaia DR3 1991758961467456512","--","23 10 29.31 +50 20 53.0","And","VAR","0.0145151","8.74 - 8.80 G"
"Gaia DR3 1991820087443075712","--","23 07 29.53 +50 43 27.3","And","SPB","--","9.78 - 9.91 G"
"Gaia DR3 1992038855896359552","--","23 08 56.58 +51 03 31.1","And","ACV|roAm|roAp|SXARI","--","9.33 - 9.35 G"
"Gaia DR3 1992164440739467776","--","23 11 57.23 +51 42 19.6","And","DSCT|GDOR|SXPHE","0.78854","9.35 - 9.39 G"
"Gaia DR3 1992200071788722048","--","23 15 14.60 +52 08 36.8","And","ACV|roAm|roAp|SXARI","--","8.91 - 8.94 G"
"Gaia DR3 1992332940895049344","--","23 21 24.26 +51 52 54.8","And","VAR","0.0359606","9.62 - 9.63 G"
"Gaia DR3 1992580193571952768","--","23 17 34.74 +52 18 11.7","And","SPB","2.7397","9.25 - 9.29 G"
"Gaia DR3 1995113330917803904","--","23 04 19.81 +51 30 58.2","And","ACV|roAm|roAp|SXARI","--","9.60 - 9.63 G"
"Gaia DR3 1995130820035613440","--","23 08 14.89 +51 46 13.4","And","ACV|roAm|roAp|SXARI","--","9.57 - 9.60 G"
"Gaia DR3 1995221942060688640","--","23 08 01.18 +52 28 14.0","And","DSCT|GDOR|SXPHE","--","9.85 - 9.89 G"
"Gaia DR3 1995230257117340032","--","23 09 05.44 +52 37 11.3","And","DSCT|GDOR|SXPHE","2.25679","9.30 - 9.33 G"
"Gaia DR3 1995336905444950400","--","23 11 22.87 +52 57 56.5","And","DSCT|GDOR|SXPHE","--","9.68 - 9.71 G"
"Gaia DR3 2802878894112913152","--","00 37 36.27 +22 40 27.9","And","ACV|roAm|roAp|SXARI","--","9.48 - 9.55 G"
"Gaia DR3 2803971361994420608","--","00 56 25.70 +23 57 28.8","And","ACV|roAm|roAp|SXARI","--","9.18 - 9.20 G"
"Gaia DR3 2806365651643223936","--","00 40 19.29 +24 02 59.1","And","DSCT|GDOR|SXPHE","--","9.39 - 9.43 G"
"Gaia DR3 2807673417645121408","--","00 34 47.32 +26 03 56.9","And","ROT","--","9.15 - 9.19 G"
"Gaia DR3 2807729080421373184","--","00 31 52.57 +25 42 15.0","And","ROT","--","9.14 - 9.16 G"
"Gaia DR3 2809261146795387648","--","00 42 14.61 +26 38 19.1","And","DSCT|GDOR|SXPHE","--","9.94 - 9.99 G"
"Gaia DR3 2809304165187947392","--","00 43 18.79 +27 11 11.1","And","ACV|roAm|roAp|SXARI","--","8.92 - 8.95 G"
"Gaia DR3 2848973170328553856","--","00 10 32.43 +23 38 59.2","And","VAR","0.0360734","9.59 - 9.65 G"
"Gaia DR3 2849031405789315328","--","00 11 02.91 +23 59 47.4","And","ROT","--","9.39 - 9.43 G"
"Gaia DR3 2849289314281426816","--","00 20 06.96 +24 38 37.6","And","DSCT|GDOR|SXPHE","--","9.64 - 9.67 G"
"Gaia DR3 2856532553287528832","--","00 16 06.88 +26 52 27.1","And","DSCT|GDOR|SXPHE","--","9.73 - 9.77 G"
"Gaia DR3 2856584195974252672","--","00 21 08.51 +26 59 08.2","And","ACV|roAm|roAp|SXARI","--","9.11 - 9.14 G"
"Gaia DR3 2857856983762930688","--","00 31 56.31 +28 30 34.5","And","DSCT|GDOR|SXPHE","--","8.79 - 8.83 G"
"Gaia DR3 2857966934925538048","--","00 34 23.43 +28 55 47.6","And","ROT","--","9.34 - 9.36 G"
"Gaia DR3 2858005894573699584","--","00 35 25.35 +29 19 15.9","And","DSCT|GDOR|SXPHE","--","9.59 - 9.64 G"
"Gaia DR3 2858386020654453120","--","00 36 41.05 +29 35 22.4","And","L","--","8.14 - 8.37 G"
"Gaia DR3 2858981814221969024","--","00 26 24.74 +29 50 04.5","And","ACV|roAm|roAp|SXARI","--","9.46 - 9.48 G"
"Gaia DR3 2858998723508913408","--","00 25 42.12 +29 57 49.9","And","ACV|roAm|roAp|SXARI","--","9.06 - 9.08 G"
"Gaia DR3 2859166399032072192","--","00 27 17.21 +30 41 15.5","And","ROT","6.4174","9.15 - 9.20 G"
"Gaia DR3 2860154447669476864","--","00 07 24.81 +28 42 39.3","And","ACV|roAm|roAp|SXARI","--","9.53 - 9.58 G"
"Gaia DR3 2860981933248930944","--","00 07 03.00 +29 37 58.1","And","DSCT|GDOR|SXPHE","0.0629492","8.70 - 8.77 G"
"Gaia DR3 2861959948841499136","--","00 12 29.94 +32 12 14.1","And","ACV|roAm|roAp|SXARI","--","8.84 - 8.88 G"
"Gaia DR3 2871959010664672640","--","23 41 43.10 +33 04 09.8","And","ACV|roAm|roAp|SXARI","--","9.89 - 9.96 G"
"Gaia DR3 2871991824214538624","--","23 38 16.67 +32 59 28.0","And","ACV|roAm|roAp|SXARI","--","9.54 - 9.58 G"
"Gaia DR3 2873225854217478016","--","23 38 54.74 +35 16 26.1","And","ACV|roAm|roAp|SXARI","--","8.78 - 8.81 G"
"Gaia DR3 2873774579239061760","--","00 01 10.13 +32 04 38.7","And","ROT","--","9.89 - 9.92 G"
"Gaia DR3 2875666868813718528","--","00 12 14.83 +33 55 15.1","And","ROT","--","8.88 - 8.94 G"
"Gaia DR3 2875707589399671808","--","00 13 22.98 +33 47 02.2","And","L","--","8.46 - 8.59 G"
"Gaia DR3 2875843963202029056","--","00 08 51.28 +33 52 44.1","And","ROT","--","9.61 - 9.67 G"
"Gaia DR3 2875943297205711744","--","00 08 16.95 +34 29 42.9","And","DSCT|GDOR|SXPHE","0.0677311","8.73 - 8.76 G"
"Gaia DR3 2877343559623351296","--","00 11 32.56 +36 31 51.2","And","DSCT|GDOR|SXPHE","0.72659","9.31 - 9.36 G"
"Gaia DR3 2877429562048759040","--","00 16 18.06 +37 17 30.3","And","ROT","--","9.97 - 10.00 G"
"Gaia DR3 2877537451627438592","--","00 07 29.49 +36 40 33.4","And","ACV|roAm|roAp|SXARI","--","9.95 - 9.99 G"
"Gaia DR3 2880166693166343296","--","00 00 35.97 +36 40 07.6","And","ROT","--","8.96 - 9.00 G"
"Gaia DR3 2880561928940298496","--","23 59 08.46 +38 04 06.9","And","DSCT|GDOR|SXPHE","0.54573","9.91 - 9.95 G"
"Gaia DR3 2881515072379382528","--","23 52 49.54 +38 41 16.2","And","ACV|roAm|roAp|SXARI","--","9.50 - 9.57 G"
"Gaia DR3 2882142614345243136","--","23 57 18.27 +40 39 08.6","And","DSCT|GDOR|SXPHE","--","9.81 - 9.87 G"
"Gaia DR3 315038535517097728","--","01 05 44.96 +34 27 50.4","And","L","--","9.59 - 9.74 G"
"Gaia DR3 319688129673125120","--","01 40 31.17 +37 44 11.2","And","SR|M","80.05","9.59 - 9.78 G"
"Gaia DR3 319722455050678656","--","01 41 14.95 +38 05 05.2","And","ACV|roAm|roAp|SXARI","--","9.21 - 9.24 G"
"Gaia DR3 320268225135980288","--","01 16 55.04 +34 54 07.2","And","ACV|roAm|roAp|SXARI","--","9.49 - 9.55 G"
"Gaia DR3 321311936548496256","--","01 13 07.25 +35 58 42.5","And","DSCT|GDOR|SXPHE","--","9.47 - 9.51 G"
"Gaia DR3 321493252887860224","--","01 20 33.39 +36 24 29.9","And","DSCT|GDOR|SXPHE","--","9.03 - 9.07 G"
"Gaia DR3 322146225356157184","--","01 29 57.77 +37 01 46.6","And","DSCT|GDOR|SXPHE","--","9.67 - 9.70 G"
"Gaia DR3 322293349459923456","--","01 26 50.75 +36 33 07.8","And","ACV|roAm|roAp|SXARI","--","9.00 - 9.03 G"
"Gaia DR3 322652447381670528","--","01 35 30.32 +37 54 58.6","And","ROT","--","9.36 - 9.38 G"
"Gaia DR3 322850904935033728","--","01 38 19.85 +39 21 17.5","And","ACV|roAm|roAp|SXARI","--","8.56 - 8.60 G"
"Gaia DR3 323396988551654144","--","01 27 49.43 +39 13 32.0","And","ACV|roAm|roAp|SXARI","--","9.87 - 9.89 G"
"Gaia DR3 324162935839760768","--","01 32 04.75 +40 54 01.0","And","ACV|roAm|roAp|SXARI","--","9.56 - 9.59 G"
"Gaia DR3 328699417738202496","--","02 24 48.21 +37 47 29.0","And","BCEP","--","9.69 - 9.72 G"
"Gaia DR3 330758248964308736","--","02 00 24.57 +36 53 52.2","And","DSCT|GDOR|SXPHE","--","9.40 - 9.46 G"
"Gaia DR3 331555811508085376","--","02 15 15.36 +38 13 57.2","And","DSCT|GDOR|SXPHE","--","9.28 - 9.32 G"
"Gaia DR3 331586696617103232","--","02 21 15.12 +37 25 20.8","And","ACV|roAm|roAp|SXARI","--","9.51 - 9.53 G"
"Gaia DR3 332398793329965696","--","02 13 24.05 +39 05 31.0","And","L","--","9.50 - 9.65 G"
"Gaia DR3 332739160897479168","--","02 16 33.23 +39 07 23.0","And","L","--","9.39 - 9.79 G"
"Gaia DR3 332753076591446656","--","02 16 42.60 +39 27 24.4","And","ACV|roAm|roAp|SXARI","--","9.91 - 9.95 G"
"Gaia DR3 332980297541068160","--","02 18 02.95 +40 52 08.2","And","ACV|roAm|roAp|SXARI","--","9.25 - 9.29 G"
"Gaia DR3 332981156534534144","--","02 17 40.08 +40 48 24.2","And","DSCT|GDOR|SXPHE","--","8.61 - 8.63 G"
"Gaia DR3 334476286189609856","--","02 30 52.08 +37 54 02.1","And","ROT","--","8.50 - 8.53 G"
"Gaia DR3 334494428131443456","--","02 30 18.31 +38 08 02.3","And","ACV|roAm|roAp|SXARI","--","8.83 - 8.86 G"
"Gaia DR3 334603726459317888","--","02 33 09.44 +38 20 50.0","And","L","--","8.80 - 8.95 G"
"Gaia DR3 334655296129860224","--","02 35 17.35 +39 10 21.1","And","ROT","--","8.74 - 8.77 G"
"Gaia DR3 334910936879908736","--","02 29 51.69 +39 36 09.8","And","ACV|roAm|roAp|SXARI","--","9.82 - 9.85 G"
"Gaia DR3 335197119141029504","--","02 38 32.38 +40 20 16.4","And","ACV|roAm|roAp|SXARI","--","9.32 - 9.35 G"
"Gaia DR3 335307035944213888","--","02 36 07.23 +40 36 32.2","And","ACV|roAm|roAp|SXARI","--","9.17 - 9.20 G"
"Gaia DR3 338268089477245184","--","02 24 21.00 +40 47 05.1","And","L","--","8.07 - 8.21 G"
"Gaia DR3 338454387978562176","--","02 32 35.54 +41 30 11.1","And","ACV|roAm|roAp|SXARI","--","9.45 - 9.47 G"
"Gaia DR3 338721431865100416","--","02 28 43.78 +41 55 54.6","And","ACV|roAm|roAp|SXARI","--","8.77 - 8.80 G"
"Gaia DR3 339187620498127360","--","02 18 17.30 +41 19 33.3","And","ACV|roAm|roAp|SXARI","--","8.05 - 8.10 G"
"Gaia DR3 339566166032728320","--","02 25 41.97 +42 44 22.3","And","DSCT|GDOR|SXPHE","--","9.44 - 9.48 G"
"Gaia DR3 339990233924295680","--","02 24 29.31 +44 24 22.5","And","ACV|roAm|roAp|SXARI","--","9.73 - 9.75 G"
"Gaia DR3 340047064931755008","--","02 36 22.69 +42 16 20.4","And","ACV|roAm|roAp|SXARI","--","9.84 - 9.87 G"
"Gaia DR3 340375608452555648","--","02 32 24.54 +43 09 16.5","And","ACV|roAm|roAp|SXARI","--","9.59 - 9.62 G"
"Gaia DR3 340405505722520064","--","02 31 46.01 +43 34 33.0","And","ACV|roAm|roAp|SXARI","--","9.67 - 9.70 G"
"Gaia DR3 340525318129675520","--","02 35 42.21 +44 11 24.0","And","ACV|roAm|roAp|SXARI","--","9.36 - 9.39 G"
"Gaia DR3 341286455053621888","--","02 30 10.32 +44 51 52.7","And","L","--","8.78 - 8.90 G"
"Gaia DR3 341515875026960768","--","02 26 22.34 +45 05 57.7","And","ACV|roAm|roAp|SXARI","--","9.19 - 9.22 G"
"Gaia DR3 341546214676617856","--","02 27 54.64 +45 22 35.2","And","ACV|roAm|roAp|SXARI","--","8.63 - 8.90 G"
"Gaia DR3 341686814724643968","--","02 30 19.66 +46 08 26.0","And","ACV|roAm|roAp|SXARI","--","9.38 - 9.40 G"
"Gaia DR3 342845047145369600","--","01 58 02.51 +37 29 36.8","And","ROT","--","9.81 - 9.85 G"
"Gaia DR3 342870095394595200","--","01 58 18.78 +37 48 11.0","And","DSCT|GDOR|SXPHE","--","9.05 - 9.08 G"
"Gaia DR3 343020999068917632","--","02 02 17.86 +38 37 38.3","And","ACV|roAm|roAp|SXARI","--","9.21 - 9.25 G"
"Gaia DR3 343828624719228800","--","01 46 44.81 +38 55 34.5","And","ACV|roAm|roAp|SXARI","--","9.91 - 9.96 G"
"Gaia DR3 344192906665450496","--","01 53 16.71 +40 10 16.9","And","ACV|roAm|roAp|SXARI","--","8.29 - 8.32 G"
"Gaia DR3 344310318189114496","--","01 50 48.25 +40 23 54.5","And","ACV|roAm|roAp|SXARI","--","8.81 - 8.90 G"
"Gaia DR3 344771460237352832","--","02 05 01.05 +40 34 37.1","And","ACV|roAm|roAp|SXARI","--","9.73 - 9.76 G"
"Gaia DR3 345106089729647872","--","02 08 50.06 +40 28 23.1","And","DSCT|GDOR|SXPHE","--","9.87 - 9.91 G"
"Gaia DR3 345304895175323008","--","02 10 34.56 +41 38 49.0","And","ACV|roAm|roAp|SXARI","--","9.71 - 9.75 G"
"Gaia DR3 345394161776147328","--","02 06 01.52 +41 27 38.3","And","E","0.96277","8.93 - 9.41 G"
"Gaia DR3 345529023749074432","--","02 08 26.93 +42 06 34.1","And","ACV|roAm|roAp|SXARI","--","9.01 - 9.07 G"
"Gaia DR3 345637360003931136","--","02 07 30.50 +43 01 29.9","And","DSCT|GDOR|SXPHE","--","9.56 - 9.61 G"
"Gaia DR3 346642725948953984","--","02 01 22.50 +43 39 40.3","And","ACV|roAm|roAp|SXARI","--","8.68 - 8.72 G"
"Gaia DR3 347051160157809920","--","01 43 57.10 +40 42 49.6","And","ROT","--","9.62 - 9.64 G"
"Gaia DR3 347192889782449920","--","01 38 48.05 +40 45 38.9","And","DSCT|GDOR|SXPHE","--","8.38 - 8.42 G"
"Gaia DR3 347294289667160576","--","01 39 02.09 +41 04 02.7","And","ACV|roAm|roAp|SXARI","--","8.99 - 9.02 G"
"Gaia DR3 347299924664234368","--","01 39 57.66 +41 14 42.6","And","L","--","8.49 - 8.63 G"
"Gaia DR3 347591432684842752","--","01 49 14.71 +41 59 20.9","And","DSCT|GDOR|SXPHE","--","8.57 - 8.63 G"
"Gaia DR3 347681455200189312","--","01 44 38.14 +41 53 13.8","And","ACV|roAm|roAp|SXARI","--","9.85 - 9.90 G"
"Gaia DR3 347810888333947392","--","01 47 43.86 +42 33 24.7","And","L","--","8.70 - 8.89 G"
"Gaia DR3 347892011675974144","--","01 43 54.34 +43 04 41.5","And","L","--","9.19 - 9.31 G"
"Gaia DR3 348029656786807168","--","01 35 11.54 +41 23 50.2","And","DSCT|GDOR|SXPHE","--","9.37 - 9.44 G"
"Gaia DR3 348751069557857280","--","01 36 56.60 +42 47 37.9","And","ACV|roAm|roAp|SXARI","--","9.31 - 9.42 G"
"Gaia DR3 348853740753145088","--","01 35 58.03 +43 29 28.5","And","ACV|roAm|roAp|SXARI","--","9.92 - 9.99 G"
"Gaia DR3 348894697561400448","--","01 37 55.66 +43 40 13.4","And","ACV|roAm|roAp|SXARI","--","8.83 - 8.86 G"
"Gaia DR3 349228261901993600","--","01 53 19.25 +43 23 22.0","And","ACV|roAm|roAp|SXARI","--","8.31 - 8.42 G"
"Gaia DR3 349261762646369664","--","01 51 23.25 +43 28 35.3","And","ACV|roAm|roAp|SXARI","--","8.45 - 8.50 G"
