Name,AUID,Coords,Const,Type,Period,Mag
"Gaia DR3 3304563887837926656","--","04 04 04.70 +11 25 03.5","Tau","DSCT|GDOR|SXPHE","--","9.63 - 9.68 G"
"Gaia DR3 3304700330358980608","--","04 05 54.41 +11 57 58.2","Tau","ROT","--","9.62 - 9.65 G"
"Gaia DR3 3305413741604663680","--","04 05 20.64 +13 07 55.6","Tau","DSCT|GDOR|SXPHE","2.64173","9.57 - 9.60 G"
"Gaia DR3 3305764795052056192","--","04 30 39.74 +10 36 12.0","Tau","DSCT|GDOR|SXPHE","0.206831","8.51 - 8.57 G"
"Gaia DR3 3305992050362336256","--","04 28 32.61 +10 59 15.6","Tau","ACV|roAm|roAp|SXARI","--","8.95 - 8.98 G"
"Gaia DR3 3306104544145237504","--","04 31 11.07 +11 14 39.8","Tau","ROT","5.5712","8.56 - 8.60 G"
"Gaia DR3 3306628564515357056","--","04 35 33.92 +12 06 01.8","Tau","ROT","--","8.75 - 8.79 G"
"Gaia DR3 3306998653257238656","--","04 25 00.32 +11 58 40.5","Tau","ROT","--","8.25 - 8.28 G"
"Gaia DR3 3307928840094945152","--","04 41 08.58 +12 35 12.4","Tau","ROT","--","9.26 - 9.30 G"
"Gaia DR3 3307982200768523904","--","04 39 06.59 +12 31 30.9","Tau","DSCT|GDOR|SXPHE","0.0958233","8.98 - 9.01 G"
"Gaia DR3 3307992336891315968","--","04 39 50.97 +12 43 42.5","Tau","ROT","3.51272","9.62 - 9.68 G"
"Gaia DR3 3310201908586060544","--","04 19 36.87 +12 37 27.6","Tau","ROT","--","9.52 - 9.55 G"
"Gaia DR3 3310951668140945792","--","04 25 17.39 +14 36 10.3","Tau","VAR","0.0390434","9.54 - 9.60 G"
"Gaia DR3 3311504138374221952","--","04 13 58.94 +14 30 12.7","Tau","DSCT|GDOR|SXPHE","--","9.89 - 9.91 G"
"Gaia DR3 3311514210073309056","--","04 14 25.65 +14 37 30.1","Tau","ROT","--","8.28 - 8.32 G"
"Gaia DR3 3312349254794744960","--","04 16 16.91 +16 17 07.9","Tau","ROT","--","9.96 - 9.99 G"
"Gaia DR3 3312411480281424000","--","04 30 33.60 +14 46 51.3","Tau","ROT","--","9.01 - 9.05 G"
"Gaia DR3 3312602348628348032","--","04 34 32.18 +15 49 39.2","Tau","ROT","--","9.41 - 9.43 G"
"Gaia DR3 3313241714640886400","--","04 38 24.95 +17 32 32.9","Tau","ROT","--","9.67 - 9.72 G"
"Gaia DR3 3313630082762446208","--","04 24 12.78 +16 22 44.1","Tau","ROT","--","8.06 - 8.10 G"
"Gaia DR3 3314088372952952064","--","04 29 51.50 +17 04 49.1","Tau","ROT","2.30529","9.28 - 9.30 G"
"Gaia DR3 3314151251273992832","--","04 31 37.11 +17 42 35.0","Tau","ROT","--","9.23 - 9.26 G"
"Gaia DR3 3340526404921864960","--","05 43 36.08 +12 59 44.3","Tau","ACV|roAm|roAp|SXARI","--","8.79 - 8.87 G"
"Gaia DR3 3347032142208991488","--","05 51 53.53 +14 06 13.8","Tau","ACV|roAm|roAp|SXARI","--","9.00 - 9.10 G"
"Gaia DR3 3347108592623837952","--","05 49 30.40 +14 25 21.1","Tau","BE|GCAS|SDOR|WR","--","9.11 - 9.21 G"
"Gaia DR3 3347130449716849280","--","05 51 04.08 +14 39 23.4","Tau","ACV|roAm|roAp|SXARI","--","8.81 - 8.84 G"
"Gaia DR3 3347435010140425728","--","05 43 32.54 +14 18 20.9","Tau","ACV|roAm|roAp|SXARI","--","8.78 - 8.82 G"
"Gaia DR3 3348211269646457600","--","05 47 01.60 +15 51 22.0","Tau","ACV|roAm|roAp|SXARI","--","9.01 - 9.05 G"
"Gaia DR3 3349637267508986880","--","05 53 02.52 +16 20 44.4","Tau","ACV|roAm|roAp|SXARI","--","8.32 - 8.39 G"
